trade_date	stock_code	stock_name	open_price	highest_price	lowest_price	close_price	turnover_volume	turnover_amount
2000/05/15	399002	深成指R	5099.11	5125.85	4986.45	5010.73	6812536	6461915136
2000/05/16	399002	深成指R	5010.24	5078.17	5010.24	5068.4	5759170	5460323840
2000/05/17	399002	深成指R	5072.83	5138.03	5030.33	5080.61	7136625	6056520192
2000/05/18	399002	深成指R	5085.95	5177.8	5061.55	5177.17	9426642	8342199808
2000/05/19	399002	深成指R	5186.92	5228.33	5151.36	5224.7	11318958	11745708032
2000/05/22	399002	深成指R	5243.11	5389.16	5230.26	5334.15	14689409	14965379072
2000/05/23	399002	深成指R	5359.36	5373.83	5268.14	5304.24	12691781	12845435904
2000/05/24	399002	深成指R	5307.16	5422.25	5307.02	5384.63	15735513	15905522688
2000/05/25	399002	深成指R	5410.81	5471.37	5406.86	5456.37	17338570	16789940224
2000/05/26	399002	深成指R	5481.19	5509.54	5400.4	5437.08	19402974	17499807744
2000/05/29	399002	深成指R	5452.37	5500.66	5431.5	5471	18968846	19454367744
2000/05/30	399002	深成指R	5493.75	5507.69	5373.14	5400.05	16792663	16382911488
2000/05/31	399002	深成指R	5387.23	5420.51	5362.99	5393.05	14696418	14294927360
2000/06/01	399002	深成指R	5416.52	5461.53	5416.52	5452.53	13500939	13780717568
2000/06/02	399002	深成指R	5456.53	5489.13	5417.96	5488.73	16793282	17031788544
2000/06/05	399002	深成指R	5504.92	5541.2	5452.91	5478.52	28844352	21163374592
2000/06/06	399002	深成指R	5486.41	5605.14	5486.41	5602.57	19025039	17685370880
2000/06/07	399002	深成指R	5636.99	5657.76	5571.62	5602.48	16257122	16128869376
2000/06/08	399002	深成指R	5608.42	5612.26	5508.97	5534.04	15259161	17502275584
2000/06/09	399002	深成指R	5541.43	5569.27	5474.48	5496.48	13921834	13698790400
2000/06/12	399002	深成指R	5480.77	5505.98	5445.35	5498.35	11346167	11260986368
2000/06/13	399002	深成指R	5503.83	5555.49	5488.32	5555.49	11614643	11761914880
2000/06/14	399002	深成指R	5558.08	5566.16	5522.85	5530.34	14493669	14572782592
2000/06/15	399002	深成指R	5533.6	5565.96	5504.05	5563.88	13960940	12681682944
2000/06/16	399002	深成指R	5573.26	5581.67	5507.69	5520.07	15203356	14624481280
2000/06/19	399002	深成指R	5518.4	5565.03	5502.23	5520.19	12067767	12040132608
2000/06/20	399002	深成指R	5519.05	5546.69	5480.07	5501.49	10488448	10066073600
2000/06/21	399002	深成指R	5525.86	5559.3	5509.44	5558	9078843	9698679808
2000/06/22	399002	深成指R	5580.49	5590.73	5526.26	5530.83	11373914	11191313408
2000/06/23	399002	深成指R	5528.17	5586.71	5505	5579.29	13166616	13960055808
2000/06/26	399002	深成指R	5596.68	5616.11	5580.82	5594.93	14228907	14923113472
2000/06/27	399002	深成指R	5607.38	5614.45	5556.93	5583.76	14287525	15214753792
2000/06/28	399002	深成指R	5583.9	5625.3	5574.7	5591.01	12440980	13625120768
2000/06/29	399002	深成指R	5604.08	5619.93	5565.7	5617.74	13602433	14858609664
2000/06/30	399002	深成指R	5625.41	5643.3	5584.82	5597.49	14194992	14223029248
2000/07/03	399002	深成指R	5568.54	5569.31	5481.58	5492.6	17664049	13048412160
2000/07/04	399002	深成指R	5471.3	5514.74	5450.49	5508.91	19868673	9609247744
2000/07/05	399002	深成指R	5516.57	5530.54	5483.45	5488.44	12571759	9518130176
2000/07/06	399002	深成指R	5489.77	5493.63	5452.85	5454.43	10825399	9679489024
2000/07/07	399002	深成指R	5462.61	5526.28	5461.56	5511.17	11395484	10196678656
2000/07/10	399002	深成指R	5522.83	5530.5	5447.85	5477.36	14983028	13810665472
2000/07/11	399002	深成指R	5486.49	5576.8	5465.1	5572.66	13714026	13264195584
2000/07/12	399002	深成指R	5575.74	5608.95	5550.1	5574.03	14601593	12894841856
2000/07/13	399002	深成指R	5581.43	5627.06	5551.47	5612.64	19034670	18742116352
2000/07/14	399002	深成指R	5625.91	5630.71	5578.17	5605.3	14519887	14474319872
2000/07/17	399002	深成指R	5612.6	5624.89	5523.42	5526.29	13052949	13273668608
2000/07/18	399002	深成指R	5528.96	5566.07	5513.72	5555.32	19872800	12068209664
2000/07/19	399002	深成指R	5569.57	5591.78	5528.64	5555.58	26381926	12296889344
2000/07/20	399002	深成指R	5561.62	5572.56	5507.61	5563.2	17943836	11629119488
2000/07/21	399002	深成指R	5570.6	5585.61	5552.67	5559.3	14322044	11227297792
2000/07/24	399002	深成指R	5563.41	5563.86	5519.59	5534.8	14293226	12105810944
2000/07/25	399002	深成指R	5531.6	5553.54	5521.19	5540.73	11383660	9909475328
2000/07/26	399002	深成指R	5547.45	5591.97	5547.45	5582.84	15580555	11873981440
2000/07/27	399002	深成指R	5609.51	5680.54	5598.75	5620.91	17729190	14820216832
2000/07/28	399002	深成指R	5620.33	5657.27	5606.02	5619.2	14221582	12744420352
2000/07/31	399002	深成指R	5625.91	5666.98	5601.4	5666.23	18063733	14206113792
2000/08/01	399002	深成指R	5673.91	5705.37	5665.48	5675.89	22342507	12244214784
2000/08/02	399002	深成指R	5683	5702.68	5634.29	5666.66	22674862	12569756672
2000/08/03	399002	深成指R	5675.73	5706.1	5663.03	5685.72	20473660	15288730624
2000/08/04	399002	深成指R	5698.05	5735.1	5643.79	5687.08	23030072	15387564032
2000/08/07	399002	深成指R	5694.21	5725.71	5653.73	5724.05	16719577	14000522240
2000/08/08	399002	深成指R	5730.49	5774.97	5730.49	5765.94	14573121	13756574720
2000/08/09	399002	深成指R	5761.14	5810.5	5757.46	5807.63	17841054	15199423488
2000/08/10	399002	深成指R	5821.34	5837.05	5790.93	5824.75	16374316	14990162944
2000/08/11	399002	深成指R	5842.6	5854.81	5792.41	5805.02	16692199	13471625216
2000/08/14	399002	深成指R	5810.82	5830.97	5786.02	5794.5	14861132	12680531968
2000/08/15	399002	深成指R	5787.13	5805.59	5730.93	5755.94	12276343	10875364352
2000/08/16	399002	深成指R	5766.5	5788.52	5746.56	5776.5	14715715	11518836736
2000/08/17	399002	深成指R	5784.72	5804.3	5776.81	5789.39	11827042	11054779392
2000/08/18	399002	深成指R	5792.81	5801.99	5767.08	5784.28	12405355	11465410560
2000/08/21	399002	深成指R	5781.64	5793.76	5752.61	5785.28	16609359	15662788608
2000/08/22	399002	深成指R	5785.92	5799.68	5692.72	5696.62	15708865	14181836800
2000/08/23	399002	深成指R	5666.93	5706.87	5430.94	5651.9	23522163	19741708288
2000/08/24	399002	深成指R	5658.85	5708.35	5615.01	5695.79	15481387	14729736192
2000/08/25	399002	深成指R	5702.84	5723.24	5668.24	5715.08	11952686	11531610112
2000/08/28	399002	深成指R	5722.28	5731.89	5706.04	5729.57	12630855	12554707968
2000/08/29	399002	深成指R	5739.03	5756.88	5729.63	5755.08	14464085	12423687168
2000/08/30	399002	深成指R	5760.18	5776.03	5684.69	5689.38	14123467	12847191040
2000/08/31	399002	深成指R	5660.75	5672.21	5573.72	5574.47	17677312	14329675776
2000/09/01	399002	深成指R	5544.96	5590.18	5519.71	5523.71	12905497	10932926464
2000/09/04	399002	深成指R	5514.92	5564.39	5477.14	5562.72	11318576	10038249472
2000/09/05	399002	深成指R	5567.69	5589.02	5427.93	5453.48	10950498	9798659072
2000/09/06	399002	深成指R	5410.39	5433.88	5333.92	5343.9	11957797	10851078144
2000/09/07	399002	深成指R	5345.27	5437.43	5345.27	5387.85	8804752	8350747136
